handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
solitude,Product,Solitude,"Solitude is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_9c823ba3a7b94127948325ebaf057515~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solitude,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solitude,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bright-eyes,Product,Bright Eyes,"Bright Eyes is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_ee642f56a3bf4d29b604d1cf4c51378c~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bright-eyes,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bright-eyes,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-robin-s-rest,Product,A Robin's Rest,"A Robin's Rest is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_6c9083b2d70542e3b1b7d7c0205bd01d~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-robin-s-rest,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-robin-s-rest,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guinness,Product,Guinness,"Guinness is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_49dda9cd9b0e40b487f741460ed9fee2~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guinness,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guinness,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
together,Product,Together,"Together is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_54261ffbb9224c82bdd7d8c50ebefed7~mv2.jpeg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
together,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
together,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballycastle,Product,Ballycastle,"Ballycastle is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_a0e55f4f62d24852bcce881d3c66fb28~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballycastle,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballycastle,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
something-is-coming,Product,Something is Coming,"Something is Coming is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_9edd3958d217421a991dfa8cb9a9ffad~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
something-is-coming,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
something-is-coming,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kittake-bird,Product,North Coast Kittiwake,"Kittake Bird is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_297a8e2857674ee7b8f6d63f90c96f6d~mv2.jpeg,Dreamscapes Collection;Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kittake-bird,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kittake-bird,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deers-of-glenveagh,Product,Deers of Glenveagh,"Deers of Glenveagh is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_0f6fcd3133f24e918e20cf90839fd5e8~mv2.jpeg,Dreamscapes Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deers-of-glenveagh,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
